token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
12-2,TOI002,12,12,3,cono:sci?,conosci,conosce,NOUN,_
13-0,TOI003,13,13,1,eh?,eh,eh,INTJ,_
14-0,TOI002,14,14,1,che,che,che,SCONJ,_
14-1,TOI002,14,14,2,lingue,lingue,lingue,NUM,_
14-2,TOI002,14,14,3,conosci?,conosci,conoscere,VERB,_
15-0,TOI003,15,15,1,vabbè,vabbè,vabbè,INTJ,_
15-1,TOI003,15,15,2,l',l',il,DET,_
15-2,TOI003,15,15,3,inglese,inglese,inglese,NOUN,_
15-3,TOI003,15,15,4,quando,quando,quando,SCONJ,_
15-4,TOI003,15,15,5,vado,vado,andare,VERB,_
15-5,TOI003,15,15,6-7,all',all',_,_,_
15-5a,_,_,15,6,_,a,a,ADP,_
15-5b,_,_,15,7,_,l',il,DET,_
15-6,TOI003,15,15,8,estero,estero,estero,NOUN,_
15-7,TOI003,15,15,9,parlo,parlo,parlare,VERB,_
15-8,TOI003,15,15,10,[eh,eh,eh,INTJ,_
15-9,TOI003,15,15,11,(.),[PAUSE],[PAUSE],X,_
15-10,TOI003,15,15,12,mi,mi,mi,PRON,_
15-11,TOI003,15,15,13,faccio,faccio,fare,VERB,_
15-12,TOI003,15,15,14,capi]re,capire,capire,VERB,_
16-0,TOI002,16,16,1,[ma,ma,ma,CCONJ,_
16-1,TOI002,16,16,2,vaff(anculo)],vaffanculo,vaffanculo,NOUN,_
16-2,TOI002,16,16,3,((ride)),((ride)),[LAUGH],X,_
17-0,TOR001,17,17,0,((ride)),((ride)),[LAUGH],X,_
18-0,TOI002,18,18,1,anch',anch',anche,ADV,_
18-1,TOI002,18,18,2,io,io,io,PRON,_
18-2,TOI002,18,18,3,mi,mi,mi,PRON,_
18-3,TOI002,18,18,4,faccio,faccio,fare,VERB,_
18-4,TOI002,18,18,5,capire,capire,capire,VERB,_
18-5,TOI002,18,18,6,[cazzo,cazzo,cazzo,NOUN,_
18-6,TOI002,18,18,7,vuol,vuol,volere,AUX,_
18-7,TOI002,18,18,8,dire,dire,dire,VERB,_
18-8,TOI002,18,18,9,xxx]xx,x,x,SYM,_
19-0,TOI003,19,19,1,[eh,eh,eh,INTJ,_
19-1,TOI003,19,19,2,sì,sì,sì,ADV,_
19-2,TOI003,19,19,3,(per,per,per,ADP,_
19-3,TOI003,19,19,4,gesti)],gesti,gesto,NOUN,_
20-0,TOR001,20,20,1,e:h,eh,eh,INTJ,_
20-1,TOR001,20,20,2,"qua[ttro],",quattro,quattro,NUM,_
21-0,TOR002,21,21,1,[tre,tre,tre,NUM,_
21-1,TOR002,21,21,2,quattro],quattro,quattro,NUM,_
22-0,TOR003,22,22,1,[qua]ttro,quattro,quattro,NUM,_
23-0,TOI002,23,23,1,°(siamo,siamo,essere,AUX,_
23-1,TOI002,23,23,2-3,nel),nel,_,_,_
23-1a,_,_,23,2,_,in,in,ADP,_
23-1b,_,_,23,3,_,il,il,DET,_
23-2,TOI002,23,23,4,duemiladiciotto°,duemiladiciotto,duemiladiciotto,NUM,_
24-0,TOR002,24,24,1,°puoi,puoi,potere,AUX,_
24-1,TOR002,24,24,2,mica,mica,mica,ADV,_
24-2,TOR002,24,24,3,spegnere,spegnere,spegnere,VERB,_
24-3,TOR002,24,24,4,quella,quella,quello,DET,_
24-4,TOR002,24,24,5,luce,luce,luce,NOUN,_
24-5,TOR002,24,24,6,lì?°,lì,lì,ADV,_
25-0,TOR001,25,25,1,ma,ma,ma,CCONJ,_
25-1,TOR001,25,25,2,ba:sta,basta,bastare,VERB,_
25-2,TOR001,25,25,3,con,con,con,ADP,_
25-3,TOR001,25,25,4,ste,ste,queste,DET,_
25-4,TOR001,25,25,5,lu:ci,luci,luce,NOUN,_
25-5,TOR001,25,25,6,((ride)),((ride)),[LAUGH],X,_
26-0,TOI003,26,26,1,quanti,quanti,quanto,PRON,_
26-1,TOI003,26,26,2,ne,ne,ne,PRON,_
26-2,TOI003,26,26,3,abbiamo,abbiamo,avere,VERB,_
26-3,TOI003,26,26,4,"oggi,",oggi,oggi,ADV,_
26-4,TOI003,26,26,5,tre?,tre,tre,NUM,_
27-0,TOI003,27,27,1,quanti,quanti,quanto,PRON,_
27-1,TOI003,27,27,2,ne,ne,ne,PRON,_
27-2,TOI003,27,27,3,abbiamo,abbiamo,avere,VERB,_
27-3,TOI003,27,27,4,oggi?,oggi,oggi,ADV,_
28-0,TOR001,28,28,1,quattro,quattro,quattro,NUM,_
29-0,TOI003,29,29,1,eh,eh,eh,INTJ,_
29-1,TOI003,29,29,2,io,io,io,PRON,_
29-2,TOI003,29,29,3,in,in,in,ADP,_
29-3,TOI003,29,29,4,vacanza,vacanza,vacanza,NOUN,_
29-4,TOI003,29,29,5,perdo,perdo,perdere,VERB,_
29-5,TOI003,29,29,6,tutto,tutto,tutto,PRON,_
30-0,TOR001,30,30,0,((ride)),((ride)),[LAUGH],X,_
31-0,TOI003,31,31,1,è,è,essere,AUX,_
31-1,TOI003,31,31,2,diciotto?,diciotto,diciotto,NUM,_
32-0,TOI003,32,32,1,xx,x,x,X,_
33-0,TOR001,33,33,0,((ride)),((ride)),[LAUGH],X,_
34-0,TOR001,34,34,1,grazie.,grazie,grazie,NOUN,_
35-0,TOI002,35,35,1,ma,ma,ma,CCONJ,_
35-1,TOI002,35,35,2,è,è,essere,AUX,_
35-2,TOI002,35,35,3,un',un',uno,DET,_
35-3,TOI002,35,35,4,intervista,intervista,intervista,NOUN,_
35-4,TOI002,35,35,5,doppia,doppia,doppio,ADJ,_
35-5,TOI002,35,35,6,o,o,o,CCONJ,_
35-6,TOI002,35,35,7,singola?,singola,singola,ADJ,_
36-0,TOR001,36,36,1,doppia,doppia,doppio,ADJ,_
36-1,TOR001,36,36,2,doppia,doppia,doppio,ADJ,_
36-2,TOR001,36,36,3,la,la,la,PRON,_
36-3,TOR001,36,36,4,fate,fate,fare,VERB,_
36-4,TOR001,36,36,5,insie[me],insieme,insieme,ADV,_
37-0,TOI002,37,37,1,[ti]po,tipo,tipo,NOUN,_
37-1,TOI002,37,37,2,le,le,le,PRON,_
37-2,TOI002,37,37,3,iene?,iene,iene,NOUN,_
38-0,TOR001,38,38,0,((ride)),((ride)),[LAUGH],X,_
39-0,TOI003,39,39,0,((ride)),((ride)),[LAUGH],X,_
40-0,TOI003,40,40,1,chi,chi,chi,PRON,_
40-1,TOI003,40,40,2,è,è,essere,AUX,_
40-2,TOI003,40,40,3,più,più,più,ADV,_
40-3,TOI003,40,40,4,bravo,bravo,bravo,ADJ,_
40-4,TOI003,40,40,5,a,a,a,ADP,_
40-5,TOI003,40,40,6,letto?,letto,letto,NOUN,_
40-6,TOI003,40,40,7,lui.,lui,lui,PRON,_
41-0,TOR001,41,41,0,((ride)),((ride)),[LAUGH],X,_
42-0,TOR002,42,42,0,((ride)),((ride)),[LAUGH],X,_
43-0,TOR003,43,43,0,((ride)),((ride)),[LAUGH],X,_
44-0,TOI002,44,44,0,((ride)),((ride)),[LAUGH],X,_
45-0,TOI003,45,45,1,e::h,eh,eh,INTJ,_
45-1,TOI003,45,45,2,devo,devo,dovere,AUX,_
45-2,TOI003,45,45,3,crocettare,crocettare,crocettare,VERB,_
45-3,TOI003,45,45,4,gli,gli,il,DET,_
45-4,TOI003,45,45,5,ultimi,ultimi,ultimo,ADJ,_
45-5,TOI003,45,45,6,due,due,due,NUM,_
45-6,TOI003,45,45,7,"[quadratini,",quadratini,quadratino,NOUN,_
45-7,TOI003,45,45,8,giusto]?,giusto,giusto,ADJ,_
46-0,TOI002,46,46,1,[tutto,tutto,tutto,PRON,_
46-1,TOI002,46,46,2,"sì,",sì,sì,ADV,_
46-2,TOI002,46,46,3,crocetta,crocetta,crocettare,VERB,_
46-3,TOI002,46,46,4,e,e,e,CCONJ,_
46-4,TOI002,46,46,5,firma],firma,firmare,VERB,_
46-5,TOI002,46,46,6-7,dai,dai,_,_,_
46-5a,_,_,46,6,_,da,da,ADP,_
46-5b,_,_,46,7,_,i,il,DET,_
46-6,TOI002,46,46,8,xx,x,x,X,_
46-7,TOI002,46,46,9,(minchia),minchia,minchia,NOUN,_
46-8,TOI002,46,46,10,non,non,non,ADV,_
46-9,TOI002,46,46,11,finiamo,finiamo,finire,VERB,_
46-10,TOI002,46,46,12,più,più,più,ADV,_
47-0,TOR001,47,47,1,[vai,vai,andare,VERB,_
47-1,TOR001,47,47,2,vai],vai,andare,VERB,_
48-0,TOI002,48,48,1,bravo.,bravo,bravo,ADJ,_
49-0,TOI003,49,49,1,c(io)è,cioè,cioè,ADV,_
49-1,TOI003,49,49,2,hai,hai,avere,AUX,_
49-2,TOI003,49,49,3,iniziato,iniziato,iniziare,VERB,_
49-3,TOI003,49,49,4,prima,prima,prima,ADV,_
49-4,TOI003,49,49,5,di,di,di,ADP,_
49-5,TOI003,49,49,6,me,me,me,PRON,_
49-6,TOI003,49,49,7,e,e,e,CCONJ,_
49-7,TOI003,49,49,8,hai,hai,avere,AUX,_
49-8,TOI003,49,49,9,finito,finito,finire,VERB,_
49-9,TOI003,49,49,10,prima?,prima,prima,ADV,_
50-0,TOI002,50,50,1,okay,okay,ok,INTJ,_
51-0,TOR001,51,51,1,okay,okay,ok,INTJ,_
51-1,TOR001,51,51,2,(.),[PAUSE],[PAUSE],X,_
51-2,TOR001,51,51,3,grazie,grazie,grazie,NOUN,_
52-0,TOI002,52,52,1,°grazie,grazie,grazie,NOUN,_
52-1,TOI002,52,52,2,a,a,a,ADP,_
52-2,TOI002,52,52,3,te.°,te,te,PRON,_
53-0,TOR001,53,53,1,allora,allora,allora,ADV,_
53-1,TOR001,53,53,2,l',l',il,DET,_
53-2,TOR001,53,53,3,intervista,intervista,intervista,NOUN,_
53-3,TOR001,53,53,4,riguarda,riguarda,riguardare,VERB,_
54-0,TOR001,54,54,1,e:hm,ehm,ehm,INTJ,_
54-1,TOR001,54,54,2,le,le,il,DET,_
54-2,TOR001,54,54,3,abitudini,abitudini,abitudine,NOUN,_
54-3,TOR001,54,54,4,di,di,di,ADP,_
54-4,TOR001,54,54,5,giovani,giovani,giovane,ADJ,_
54-5,TOR001,54,54,6,(.),[PAUSE],[PAUSE],X,_
54-6,TOR001,54,54,7,lavoratori,lavoratori,lavoratore,NOUN,_
54-7,TOR001,54,54,8,torinesi,torinesi,torinese,ADJ,_
54-8,TOR001,54,54,9,quindi,quindi,quindi,ADV,_
54-9,TOR001,54,54,10,gli,gli,il,DET,_
54-10,TOR001,54,54,11,argomenti,argomenti,argomento,NOUN,_
54-11,TOR001,54,54,12,sono,sono,essere,AUX,_
54-12,TOR001,54,54,13,un,un,uno,DET,_
54-13,TOR001,54,54,14,po':,po',poco,ADV,_
54-14,TOR001,54,54,15,vari,vari,vario,ADJ,_
55-0,TOI002,55,55,1,okay,okay,ok,INTJ,_
56-0,TOR001,56,56,1,bene,bene,bene,ADV,_
56-1,TOR001,56,56,2,quindi,quindi,quindi,ADV,_
56-2,TOR001,56,56,3,iniziamo,iniziamo,iniziare,VERB,_
56-3,TOR001,56,56,4,che,che,che,SCONJ,_
56-4,TOR001,56,56,5,lavoro,lavoro,lavoro,NOUN,_
56-5,TOR001,56,56,6,fate?,fate,fare,VERB,_
57-0,TOI003,57,57,1,operaio.,operaio,operaio,ADJ,_
58-0,TOR001,58,58,1,[mh,mh,mh,INTJ,_
58-1,TOR001,58,58,2,mh],mh,mh,INTJ,_
59-0,TOI002,59,59,1,[io,io,io,PRON,_
59-1,TOI002,59,59,2,metalmeccanico],metalmeccanico,metalmeccanico,NOUN,_
60-0,TOI003,60,60,1,[°xxxx°],x,x,X,_
61-0,TOR001,61,61,1,okay,okay,ok,INTJ,_
62-0,TOR001,62,62,1,da,da,da,ADP,_
62-1,TOR001,62,62,2,quanto,quanto,quanto,DET,_
62-2,TOR001,62,62,3,tempo?,tempo,tempo,NOUN,_
63-0,TOI003,63,63,1,m::h,mh,mh,INTJ,_
63-1,TOI003,63,63,2,(.),[PAUSE],[PAUSE],X,_
63-2,TOI003,63,63,3,questo,questo,questo,DET,_
63-3,TOI003,63,63,4,lavoro,lavoro,lavoro,NOUN,_
63-4,TOI003,63,63,5,o,o,o,CCONJ,_
63-5,TOI003,63,63,6,anche:,anche,anche,ADV,_
63-6,TOI003,63,63,7,quello,quello,quello,PRON,_
63-7,TOI003,63,63,8,"pri[ma],",prima,prima,ADV,_
64-0,TOR001,64,64,1,[que]sto,questo,questo,DET,_
64-1,TOR001,64,64,2,lavoro,lavoro,lavoro,NOUN,_
65-0,TOI003,65,65,1,quattro,quattro,quattro,NUM,_
65-1,TOI003,65,65,2,anni,anni,anno,NOUN,_
66-0,TOR001,66,66,1,ah,ah,ah,INTJ,_
66-1,TOR001,66,66,2,caspita,caspita,caspita ,INTJ,_
66-2,TOR001,66,66,3,un,un,uno,DET,_
66-3,TOR001,66,66,4,sacco,sacco,sacco,NOUN,_
67-0,TOI002,67,67,1,dodici.,dodici,dodici,NUM,_
68-0,TOI003,68,68,1,un,un,uno,DET,_
68-1,TOI003,68,68,2,sacco,sacco,sacco,NOUN,_
69-0,TOR002,69,69,0,((ride)),((ride)),[LAUGH],X,_
70-0,TOR003,70,70,0,((ride)),((ride)),[LAUGH],X,_
71-0,TOI002,71,71,0,((ride)),((ride)),[LAUGH],X,_
72-0,TOI003,72,72,0,((ride)),((ride)),[LAUGH],X,_
73-0,TOR001,73,73,0,((ride)),((ride)),[LAUGH],X,_
74-0,TOI003,74,74,1,[x],x,x,x,_
75-0,TOR001,75,75,1,[in],in,in,ADP,_
75-1,TOR001,75,75,2,cosa,cosa,cosa,PRON,_
75-2,TOR001,75,75,3,consiste,consiste,consistere,VERB,_
75-3,TOR001,75,75,4,il,il,il,DET,_
75-4,TOR001,75,75,5,"lavoro,",lavoro,lavoro,NOUN,_
75-5,TOR001,75,75,6,cioè,cioè,cioè,CCONJ,_
75-6,TOR001,75,75,7,cosa,cosa,cosa,PRON,_
75-7,TOR001,75,75,8,fate?,fate,fare,VERB,_
76-0,TOI003,76,76,1,allora,allora,allora,ADV,_
76-1,TOI003,76,76,2,noi,noi,noi,PRON,_
76-2,TOI003,76,76,3,(.),[PAUSE],[PAUSE],X,_
76-3,TOI003,76,76,4,produciamo,produciamo,produrre,VERB,_
76-4,TOI003,76,76,5,bulloneria,bulloneria,bulloneria,NOUN,_
76-5,TOI003,76,76,6,e,e,e,CCONJ,_
76-6,TOI003,76,76,7,viteria,viteria,viteria,NOUN,_
76-7,TOI003,76,76,8,speciale,speciale,speciale,ADJ,_
77-0,TOR001,77,77,1,mh,mh,mh,INTJ,_
77-1,TOR001,77,77,2,mh,mh,mh,INTJ,_
78-0,TOI003,78,78,1,esportiamo,esportiamo,esportare,VERB,_
78-1,TOI003,78,78,2,(.),[PAUSE],[PAUSE],X,_
78-2,TOI003,78,78,3,in,in,in,ADP,_
78-3,TOI003,78,78,4,tutto,tutto,tutto,DET,_
78-4,TOI003,78,78,5,il,il,il,DET,_
78-5,TOI003,78,78,6,"mondo,",mondo,mondo,NOUN,_
79-0,TOR001,79,79,1,mh,mh,mh,INTJ,_
79-1,TOR001,79,79,2,mh,mh,mh,INTJ,_
80-0,TOI003,80,80,1,ed,ed,e,CCONJ,_
80-1,TOI003,80,80,2,è::,è,essere,AUX,_
80-2,TOI003,80,80,3,mh,mh,mh,INTJ,_
81-0,TOI003,81,81,1,praticamente,praticamente,praticamente,ADV,_
81-1,TOI003,81,81,2,(.),[PAUSE],[PAUSE],X,_
81-2,TOI003,81,81,3,ci,ci,ci,PRON,_
81-3,TOI003,81,81,4,sono,sono,essere,AUX,_
81-4,TOI003,81,81,5,(.),[PAUSE],[PAUSE],X,_
81-5,TOI003,81,81,6,eh,eh,eh,INTJ,_
81-6,TOI003,81,81,7,ditte,ditte,ditta,NOUN,_
81-7,TOI003,81,81,8,come,come,come,ADP,_
81-8,TOI003,81,81,9,noi,noi,noi,PRON,_
81-9,TOI003,81,81,10,(.),[PAUSE],[PAUSE],X,_
81-10,TOI003,81,81,11,che,che,che,PRON,_
81-11,TOI003,81,81,12,producono,producono,prudurre,VERB,_
81-12,TOI003,81,81,13,(.),[PAUSE],[PAUSE],X,_
81-13,TOI003,81,81,14,le:,le,il,DET,_
81-14,TOI003,81,81,15,bulloneria,bulloneria,bulloneria,NOUN,_
81-15,TOI003,81,81,16,e,e,e,CCONJ,_
81-16,TOI003,81,81,17,viteria,viteria,viteria,NOUN,_
81-17,TOI003,81,81,18,<normale>,normale,normale,ADJ,_
82-0,TOR001,82,82,1,mh,mh,mh,INTJ,_
82-1,TOR001,82,82,2,mh,mh,mh,INTJ,_
83-0,TOI003,83,83,1,quella,quella,quello,DET,_
83-1,TOI003,83,83,2,base,base,base,NOUN,_
83-2,TOI003,83,83,3,noi,noi,noi,PRON,_
83-3,TOI003,83,83,4,facciamo,facciamo,fare,VERB,_
83-4,TOI003,83,83,5,ci,ci,ci,PRON,_
83-5,TOI003,83,83,6,occupiamo,occupiamo,occupare,VERB,_
83-6,TOI003,83,83,7,solo,solo,solo,ADV,_
83-7,TOI003,83,83,8-9,dello,dello,_,_,_
83-7a,_,_,83,8,_,di,di,ADP,_
83-7b,_,_,83,9,_,lo,il,DET,_
83-8,TOI003,83,83,10,speciale.,speciale,speciale,NOUN,_
84-0,TOR001,84,84,1,okay,okay,ok,INTJ,_
85-0,TOI003,85,85,1,quindi,quindi,quindi,ADV,_
85-1,TOI003,85,85,2,siamo:,siamo,essere,VERB,_
85-2,TOI003,85,85,3,(.),[PAUSE],[PAUSE],X,_
85-3,TOI003,85,85,4,un',un',uno,DET,_
85-4,TOI003,85,85,5,azienda,azienda,azienda,NOUN,_
85-5,TOI003,85,85,6,unica,unica,unico,ADJ,_
85-6,TOI003,85,85,7,in,in,in,ADP,_
85-7,TOI003,85,85,8,italia,italia,italia,NOUN,_
85-8,TOI003,85,85,9,(.),[PAUSE],[PAUSE],X,_
85-9,TOI003,85,85,10,[che,che,che,PRON,_
85-10,TOI003,85,85,11,fa],fa,fare,VERB,_
85-11,TOI003,85,85,12,questa,questa,questo,DET,_
85-12,TOI003,85,85,13,cosa,cosa,cosa,NOUN,_
85-13,TOI003,85,85,14,qua,qua,qua,ADV,_
86-0,TOR001,86,86,1,[mh,mh,mh,INTJ,_
86-1,TOR001,86,86,2,mh],mh,mh,INTJ,_
87-0,TOR001,87,87,1,okay,okay,ok,INTJ,_
88-0,TOR001,88,88,1,e,e,e,CCONJ,_
88-1,TOR001,88,88,2,di,di,di,ADP,_
88-2,TOR001,88,88,3,concreto,concreto,concreto,ADJ,_
88-3,TOR001,88,88,4,(.),[PAUSE],[PAUSE],X,_
88-4,TOR001,88,88,5,cioè,cioè,cioé,ADV,_
88-5,TOR001,88,88,6,durante,durante,durante,ADP,_
88-6,TOR001,88,88,7,il,il,il,DET,_
88-7,TOR001,88,88,8,giorno,giorno,giorno,NOUN,_
88-8,TOR001,88,88,9,cosa,cosa,cosa,PRON,_
88-9,TOR001,88,88,10,fai?,fai,fare,VERB,_
88-10,TOR001,88,88,11,cioè,cioè,cioè,ADV,_
88-11,TOR001,88,88,12,l~,l~,l~,DET,_
88-12,TOR001,88,88,13,l~,l~,l~,DET,_
88-13,TOR001,88,88,14,la,la,la,DET,_
88-14,TOR001,88,88,15,[la,la,il,DET,_
88-15,TOR001,88,88,16,tua,tua,tuo,DET,_
88-16,TOR001,88,88,17,giornata,giornata,giornata,NOUN,_
88-17,TOR001,88,88,18,(tipo)],tipo,tipo,NOUN,_
89-0,TOI003,89,89,1,[la,la,il,DET,_
89-1,TOI003,89,89,2,mia,mia,mio,DET,_
89-2,TOI003,89,89,3,mansione,mansione,mansione,NOUN,_
89-3,TOI003,89,89,4,è,è,essere,AUX,_
89-4,TOI003,89,89,5,il,il,il,DET,_
89-5,TOI003,89,89,6,rullato]re,rullatore,rullatore,NOUN,_
89-6,TOI003,89,89,7,io,io,io,PRON,_
89-7,TOI003,89,89,8,mi,mi,mi,PRON,_
89-8,TOI003,89,89,9,occupo,occupo,occupare,VERB,_
89-9,TOI003,89,89,10-11,della,della,_,_,_
89-9a,_,_,89,10,_,di,di,ADP,_
89-9b,_,_,89,11,_,la,il,DET,_
89-10,TOI003,89,89,12,filettatura,filettatura,filettatura,NOUN,_
90-0,TOR001,90,90,1,[okay],okay,ok,INTJ,_
91-0,TOR001,91,91,1,okay,okay,ok,INTJ,_
92-0,TOI003,92,92,1-2,della,della,_,_,_
92-0a,_,_,92,1,_,di,di,ADP,_
92-0b,_,_,92,2,_,la,il,DET,_
92-1,TOI003,92,92,3,vite,vite,vite,NOUN,_
92-2,TOI003,92,92,4,o,o,o,CCONJ,_
92-3,TOI003,92,92,5-6,del,del,_,_,_
92-3a,_,_,92,5,_,di,di,ADP,_
92-3b,_,_,92,6,_,il,il,DET,_
92-4,TOI003,92,92,7,bullone,bullone,bullone,NOUN,_
93-0,TOR001,93,93,1,okay,okay,ok,INTJ,_
94-0,TOI003,94,94,1,la,la,il,DET,_
94-1,TOI003,94,94,2,funzionalità.,funzionalità,funzionalità,NOUN,_
95-0,TOR001,95,95,1,mh,mh,mh,INTJ,_
95-1,TOR001,95,95,2,mh,mh,mh,INTJ,_
95-2,TOR001,95,95,3,(.),[PAUSE],[PAUSE],X,_
95-3,TOR001,95,95,4,okay,okay,ok,INTJ,_
96-0,TOR001,96,96,1,tu,tu,tu,PRON,_
96-1,TOR001,96,96,2,invece?,invece,invece,ADV,_
97-0,TOI002,97,97,1,io::,io,io,PRON,_
97-1,TOI002,97,97,2,ho,ho,avere,VERB,_
97-2,TOI002,97,97,3,un',un',uno,DET,_
97-3,TOI002,97,97,4,impresa,impresa,impresa,NOUN,_
97-4,TOI002,97,97,5,edile,edile,edile,ADJ,_
97-5,TOI002,97,97,6,diciamo,diciamo,dire,VERB,_
98-0,TOR001,98,98,1,mh,mh,mh,INTJ,_
98-1,TOR001,98,98,2,mh,mh,mh,INTJ,_
99-0,TOI002,99,99,1,facciamo,facciamo,fare,VERB,_
99-1,TOI002,99,99,2,decorazioni,decorazioni,decorazione,NOUN,_
99-2,TOI002,99,99,3,più,più,più,ADV,_
99-3,TOI002,99,99,4,che,che,che,SCONJ,_
99-4,TOI002,99,99,5,al[tro],altro,altro,PRON,_
99-5,TOI002,99,99,6,(.),[PAUSE],[PAUSE],X,_
99-6,TOI002,99,99,7,la,la,il,DET,_
99-7,TOI002,99,99,8,ritrutturazione,ritrutturazione,ritrutturazione,NOUN,_
99-8,TOI002,99,99,9,in,in,in,ADP,_
99-9,TOI002,99,99,10,generale,generale,generale,NOUN,_
100-0,TOR001,100,100,1,[mh,mh,mh,INTJ,_
100-1,TOR001,100,100,2,mh],mh,mh,INTJ,_
101-0,TOR001,101,101,1,okay,okay,ok,INTJ,_
102-0,TOI002,102,102,1,la,la,il,DET,_
102-1,TOI002,102,102,2,mia,mia,mio,DET,_
102-2,TOI002,102,102,3,mansione?,mansione,mansione,NOUN,_
103-0,TOR001,103,103,1,sì,sì,sì,ADV,_
103-1,TOR001,103,103,2,((ride)),((ride)),[LAUGH],X,_
104-0,TOR003,104,104,0,((ride)),((ride)),[LAUGH],X,_
105-0,TOI003,105,105,1,ecco,ecco,ecco,ADV,_
105-1,TOI003,105,105,2,qua,qua,qua,ADV,_
105-2,TOI003,105,105,3,è,è,essere,AUX,_
105-3,TOI003,105,105,4,bello,bello,bello,ADJ,_
106-0,TOI002,106,106,1,no,no,no,ADV,_
106-1,TOI002,106,106,2,io,io,io,PRON,_
106-2,TOI002,106,106,3,gestisco,gestisco,gestire,VERB,_
106-3,TOI002,106,106,4,cantieri,cantieri,cantiere,NOUN,_
106-4,TOI002,106,106,5,sto,sto,stare,VERB,_
106-5,TOI002,106,106,6-7,sui,sui,_,_,_
106-5a,_,_,106,6,_,su,su,ADP,_
106-5b,_,_,106,7,_,i,il,DET,_
106-6,TOI002,106,106,8,cantieri,cantieri,cantiere,NOUN,_
106-7,TOI002,106,106,9,[(.),[PAUSE],[PAUSE],X,_
106-8,TOI002,106,106,10,noi],noi,noi,PRON,_
106-9,TOI002,106,106,11,siamo:,siamo,essere,VERB,_
106-10,TOI002,106,106,12,un',un',uno,DET,_
106-11,TOI002,106,106,13,azienda,azienda,azienda,NOUN,_
106-12,TOI002,106,106,14,familiare,familiare,familiare,ADJ,_
