token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
16-2,BO094,16,16,4,assunzioni,assunzioni,assunzione,NOUN,_
17-0,BO094,17,17,1,allora,allora,allora,ADV,_
17-1,BO094,17,17,2,posso,posso,potere,AUX,_
17-2,BO094,17,17,3,concludere,concludere,concludere,VERB,_
17-3,BO094,17,17,4,per,per,per,ADP,_
17-4,BO094,17,17,5,xx,x,x,SYM,_
17-5,BO094,17,17,6,ics,ics,ics,NOUN,_
17-6,BO094,17,17,7,a,a,a,NOUN,_
18-0,BO094,18,18,1,allora,allora,allora,ADV,_
18-1,BO094,18,18,2,uno,uno,uno,PRON,_
18-2,BO094,18,18,3,dice,dice,dire,VERB,_
18-3,BO094,18,18,4,bene,bene,bene,ADV,_
18-4,BO094,18,18,5,allora,allora,allora,ADV,_
18-5,BO094,18,18,6,io,io,io,PRON,_
18-6,BO094,18,18,7,posso,posso,potere,AUX,_
18-7,BO094,18,18,8,fare,fare,fare,VERB,_
18-8,BO094,18,18,9,anche,anche,anche,ADV,_
18-9,BO094,18,18,10,questo.,questo,questo,DET,Intonation=falling
18-10,BO094,18,18,11,no:,no,no,ADV,_
19-0,BO094,19,19,1,perché,perché,perché,SCONJ,_
19-1,BO094,19,19,2,se,se,se,SCONJ,_
19-2,BO094,19,19,3,io,io,io,PRON,_
19-3,BO094,19,19,4,assumo,assumo,assumere,VERB,_
19-4,BO094,19,19,5,a,a,a,NOUN,_
19-5,BO094,19,19,6,bi,bi,bi,NOUN,_
19-6,BO094,19,19,7,"ci,",ci,ci,NOUN,Intonation=weakly_rising
19-7,BO094,19,19,8,ci,ci,ci,PRON,_
19-8,BO094,19,19,9,occorre,occorre,occorrere,VERB,_
19-9,BO094,19,19,10-11,nell',nell',_,_,Truncated=Yes
19-9a,_,_,19,10,_,in,in,ADP,_
19-9b,_,_,19,11,_,l',il,DET,_
19-10,BO094,19,19,12,assunzione,assunzione,assunzione,NOUN,_
20-0,BO094,20,20,1,capite?,capite,capire,NOUN,Intonation=rising
21-0,BO094,21,21,1,se,se,se,SCONJ,_
21-1,BO094,21,21,2,questa,questa,questo,PRON,_
21-2,BO094,21,21,3,è,è,essere,AUX,_
21-3,BO094,21,21,4,una,una,uno,DET,_
21-4,BO094,21,21,5,foglia,foglia,foglia,NOUN,_
21-5,BO094,21,21,6,e,e,e,CCONJ,_
21-6,BO094,21,21,7,io,io,io,PRON,_
21-7,BO094,21,21,8,a,a,a,NOUN,_
21-8,BO094,21,21,9,assumo,assumo,assumo,NOUN,_
21-9,BO094,21,21,10,a,a,a,ADP,_
21-10,BO094,21,21,11,bi,bi,bi,NOUN,_
21-11,BO094,21,21,12,"ci,",ci,ci,PRON,Intonation=weakly_rising
22-0,BO094,22,22,1,ci,ci,ci,PRON,_
22-1,BO094,22,22,2,occo~,occo~,occo~,X,Interrupted=Yes
22-2,BO094,22,22,3,ci,ci,ci,NOUN,_
22-3,BO094,22,22,4,è,è,essere,AUX,_
22-4,BO094,22,22,5,assunzione,assunzione,assunzione,NOUN,_
22-5,BO094,22,22,6,e,e,e,CCONJ,_
22-6,BO094,22,22,7,conclusione.,conclusione,conclusione,NOUN,Intonation=falling
23-0,BO094,23,23,1,quindi,quindi,quindi,ADV,_
23-1,BO094,23,23,2,ci,ci,ci,PRON,_
23-2,BO094,23,23,3,occorre,occorre,occorrere,VERB,_
23-3,BO094,23,23,4-5,nell',nell',_,_,Truncated=Yes
23-3a,_,_,23,4,_,in,in,ADP,_
23-3b,_,_,23,5,_,l',il,DET,_
23-4,BO094,23,23,6,assunzione.,assunzione,assunzione,NOUN,Intonation=falling
24-0,BO094,24,24,1,quindi,quindi,quindi,ADV,_
24-1,BO094,24,24,2,è,è,essere,AUX,_
24-2,BO094,24,24,3,chiaro,chiaro,chiaro,ADJ,_
24-3,BO094,24,24,4,che,che,che,SCONJ,_
24-4,BO094,24,24,5,non,non,non,ADV,_
24-5,BO094,24,24,6,posso,posso,potere,AUX,_
24-6,BO094,24,24,7,ics,ics,ics,NOUN,_
24-7,BO094,24,24,8,xxx,x,x,X,_
24-8,BO094,24,24,9,(la,la,il,DET,_
24-9,BO094,24,24,10,regola),regola,regola,NOUN,_
25-0,BO094,25,25,1,(va,va,andare,VERB,_
25-1,BO094,25,25,2,bene?),bene,bene,ADV,Intonation=rising
26-0,BO094,26,26,1,quindi,quindi,quindi,ADV,_
26-1,BO094,26,26,2,io,io,io,PRON,_
26-2,BO094,26,26,3,quest',quest',quest',DET,Truncated=Yes
26-3,BO094,26,26,4,a,a,a,NOUN,_
26-4,BO094,26,26,5,bi,bi,bi,NOUN,_
26-5,BO094,26,26,6,ci,ci,ci,NOUN,_
26-6,BO094,26,26,7,devo,devo,dovere,AUX,_
26-7,BO094,26,26,8-9,averlo,averlo,_,_,_
26-7a,_,_,26,8,_,aver,avere,AUX,_
26-7b,_,_,26,9,_,lo,lo,PRON,_
26-8,BO094,26,26,10,ottenuto,ottenuto,ottenere,VERB,_
27-0,BO094,27,27,1,da,da,da,ADP,_
27-1,BO094,27,27,2,un,un,uno,DET,_
27-2,BO094,27,27,3,insieme,insieme,insieme,NOUN,_
27-3,BO094,27,27,4,di,di,di,ADP,_
27-4,BO094,27,27,5,assunzioni,assunzioni,assunzione,NOUN,_
27-5,BO094,27,27,6,dove,dove,dove,ADV,_
27-6,BO094,27,27,7,dorvò,dorvò,dovere,AUX,_
27-7,BO094,27,27,8,porre,porre,porre,VERB,_
27-8,BO094,27,27,9,(la,la,il,DET,_
27-9,BO094,27,27,10,costante,costante,costante,NOUN,_
27-10,BO094,27,27,11,ci),ci,ci,PRON,_
28-0,BO094,28,28,1,va,va,andare,VERB,_
28-1,BO094,28,28,2,bene?,bene,bene,ADV,Intonation=rising
29-0,BO094,29,29,1,bene,bene,bene,ADV,_
30-0,BO094,30,30,1,o:h,oh,oh,INTJ,_
30-1,BO094,30,30,2,vorrei,vorrei,volere,AUX,_
30-2,BO094,30,30,3,e::h,eh,eh,INTJ,_
30-3,BO094,30,30,4,cominc~,cominc~,cominc~,X,Interrupted=Yes
30-4,BO094,30,30,5,diciamo,diciamo,dire,VERB,_
30-5,BO094,30,30,6,dire,dire,dire,VERB,_
30-6,BO094,30,30,7,ancora,ancora,ancora,ADV,_
30-7,BO094,30,30,8,"qualcosa,",qualcosa,qualcosa,PRON,Intonation=weakly_rising
31-0,BO094,31,31,1-2,su::l,sul,_,_,_
31-0a,_,_,31,1,_,su,su,ADP,_
31-0b,_,_,31,2,_,il,il,DET,_
31-1,BO094,31,31,3,mmh,mmh,mmh,INTJ,_
32-0,BO094,32,32,1,un,un,uno,DET,_
32-1,BO094,32,32,2,verso,verso,verso,NOUN,_
32-2,BO094,32,32,3-4,del,del,_,_,_
32-2a,_,_,32,3,_,di,di,ADP,_
32-2b,_,_,32,4,_,il,il,DET,_
32-3,BO094,32,32,5,teorema,teorema,teorema,NOUN,_
32-4,BO094,32,32,6,di,di,di,ADP,_
32-5,BO094,32,32,7,validità,validità,validità,NOUN,_
32-6,BO094,32,32,8,xx,x,decimo,X,_
32-7,BO094,32,32,9,dimostrato,dimostrato,dimostrare,VERB,_
32-8,BO094,32,32,10,il,il,il,DET,_
32-9,BO094,32,32,11,teorema,teorema,teorema,NOUN,_
32-10,BO094,32,32,12,di,di,di,ADP,_
32-11,BO094,32,32,13,validità,validità,validità,NOUN,_
32-12,BO094,32,32,14-15,nel,nel,_,_,_
32-12a,_,_,32,14,_,in,in,ADP,_
32-12b,_,_,32,15,_,il,il,DET,_
32-13,BO094,32,32,16,seguente,seguente,seguente,ADJ,_
32-14,BO094,32,32,17,modo,modo,modo,NOUN,_
33-0,BO094,33,33,1,quindi,quindi,quindi,ADV,_
33-1,BO094,33,33,2,per,per,per,ADP,_
33-2,BO094,33,33,3,chi,chi,chi,PRON,_
33-3,BO094,33,33,4,non,non,non,ADV,_
33-4,BO094,33,33,5,era,era,essere,AUX,_
33-5,BO094,33,33,6,ieri,ieri,ieri,ADV,_
33-6,BO094,33,33,7,a,a,a,ADP,_
33-7,BO094,33,33,8,lezione,lezione,lezione,NOUN,_
33-8,BO094,33,33,9,in,in,in,ADP,_
33-9,BO094,33,33,10,particolare,particolare,particolare,NOUN,_
34-0,BO094,34,34,1,il,il,il,DET,_
34-1,BO094,34,34,2,signore,signore,signore,NOUN,_
34-2,BO094,34,34,3,ecco,ecco,ecco,ADV,_
34-3,BO094,34,34,4,ora,ora,ora,ADV,_
34-4,BO094,34,34,5,che,che,che,SCONJ,_
34-5,BO094,34,34,6,cerchi,cerchi,cercare,VERB,_
34-6,BO094,34,34,7,di,di,di,ADP,_
34-7,BO094,34,34,8,"recuperare,",recuperare,recuperare,VERB,Intonation=weakly_rising
35-0,BO094,35,35,1,la,la,il,DET,_
35-1,BO094,35,35,2,lezione,lezione,lezione,NOUN,_
35-2,BO094,35,35,3,di,di,di,ADP,_
35-3,BO094,35,35,4,ieri,ieri,ieri,ADV,_
36-0,BO094,36,36,1,cellulari,cellulari,cellulare,NOUN,_
36-1,BO094,36,36,2,sono,sono,essere,AUX,_
36-2,BO094,36,36,3,un,un,uno,DET,_
36-3,BO094,36,36,4,disastro,disastro,disastro,NOUN,_
36-4,BO094,36,36,5,devo,devo,dovere,AUX,_
36-5,BO094,36,36,6,dire,dire,dire,VERB,_
36-6,BO094,36,36,7,la,la,il,DET,_
36-7,BO094,36,36,8,verità,verità,verità,NOUN,_
37-0,BO094,37,37,1,allora,allora,allora,ADV,_
37-1,BO094,37,37,2,<esiste>,esiste,esistere,VERB,_
38-0,BO094,38,38,1,un,un,uno,DET,_
39-0,BO094,39,39,1,<albero,albero,albero,NOUN,_
39-1,BO094,39,39,2,di>,di,di,ADP,_
40-0,BO094,40,40,1,sequenze,sequenze,sequenza,NOUN,_
40-1,BO094,40,40,2,"chiu::so,",chiuso,chiuso,ADJ,Intonation=weakly_rising
41-0,BO094,41,41,1,per,per,per,ADP,_
42-0,BO094,42,42,1,gamma,gamma,gamma,NOUN,_
42-1,BO094,42,42,2,xxx,x,x,X,_
43-0,BO094,43,43,1,va,va,andare,VERB,_
43-1,BO094,43,43,2,bene?,bene,bene,ADV,Intonation=rising
44-0,BO094,44,44,1,questo,questo,questo,PRON,_
44-1,BO094,44,44,2,è,è,essere,AUX,_
44-2,BO094,44,44,3,quello,quello,quello,PRON,_
44-3,BO094,44,44,4,che,che,che,PRON,_
44-4,BO094,44,44,5,abbiamo,abbiamo,avere,AUX,_
44-5,BO094,44,44,6,dimostrato,dimostrato,dimostrare,VERB,_
44-6,BO094,44,44,7,er~,er~,er~,X,Interrupted=Yes
44-7,BO094,44,44,8,ieri,ieri,ieri,ADV,_
44-8,BO094,44,44,9,e,e,e,CCONJ,_
44-9,BO094,44,44,10,che,che,che,PRON,_
44-10,BO094,44,44,11,oggi,oggi,oggi,ADV,_
44-11,BO094,44,44,12,troverete,troverete,trovare,VERB,_
44-12,BO094,44,44,13,xxx,x,x,X,_
45-0,BO094,45,45,1,se,se,se,SCONJ,_
45-1,BO094,45,45,2,esiste,esiste,esistere,VERB,_
45-2,BO094,45,45,3,una,una,uno,DET,_
45-3,BO094,45,45,4,derivazione,derivazione,derivazione,NOUN,_
45-4,BO094,45,45,5,xx,x,x,X,_
45-5,BO094,45,45,6,"gamma,",gamma,gamma,NOUN,Intonation=weakly_rising
46-0,BO094,46,46,1,allora,allora,allora,ADV,_
46-1,BO094,46,46,2,esiste,esiste,esistere,VERB,_
46-2,BO094,46,46,3,anche,anche,anche,ADV,_
46-3,BO094,46,46,4,un,un,uno,DET,_
46-4,BO094,46,46,5,albero,albero,albero,NOUN,_
46-5,BO094,46,46,6,di,di,di,ADP,_
46-6,BO094,46,46,7,(sequenze,sequenze,sequenza,NOUN,_
46-7,BO094,46,46,8,chiusi),chiusi,chiuso,ADJ,_
47-0,BO094,47,47,1,per,per,per,ADP,_
47-1,BO094,47,47,2,il,il,il,DET,_
47-2,BO094,47,47,3,sequente,sequente,sequente,ADJ,_
47-3,BO094,47,47,4,gamma,gamma,gamma,NOUN,_
48-0,BO094,48,48,1,benissimo.,benissimo,bene,ADV,Intonation=falling
49-0,BO094,49,49,1,questo,questo,questo,PRON,_
49-1,BO094,49,49,2,è,è,essere,AUX,_
49-2,BO094,49,49,3,il,il,il,DET,_
49-3,BO094,49,49,4,teorema,teorema,teorema,NOUN,_
49-4,BO094,49,49,5,di,di,di,ADP,_
49-5,BO094,49,49,6,validità.,validità,validità,NOUN,Intonation=falling
50-0,BO094,50,50,1,il,il,il,DET,_
50-1,BO094,50,50,2,teorema,teorema,teorema,NOUN,_
50-2,BO094,50,50,3,di,di,di,ADP,_
50-3,BO094,50,50,4,completezza,completezza,completezza,NOUN,_
50-4,BO094,50,50,5,è,è,essere,AUX,_
50-5,BO094,50,50,6,esattamente,esattamente,esattamente,ADV,_
50-6,BO094,50,50,7,la,la,il,DET,_
50-7,BO094,50,50,8,freccia,freccia,freccia,NOUN,_
51-0,BO094,51,51,1,inversa.,inversa,inverso,ADJ,Intonation=falling
52-0,BO094,52,52,1,cioè,cioè,cioè,ADV,_
53-0,BO094,53,53,1,se,se,se,SCONJ,_
53-1,BO094,53,53,2,vuoi,vuoi,volere,AUX,_
53-2,BO094,53,53,3,fare,fare,fare,VERB,_
53-3,BO094,53,53,4,un,un,uno,DET,_
53-4,BO094,53,53,5,freccione,freccione,freccione,NOUN,_
53-5,BO094,53,53,6,inverso,inverso,inverso,ADJ,_
53-6,BO094,53,53,7-8,dal,dal,_,_,_
53-6a,_,_,53,7,_,da,da,ADP,_
53-6b,_,_,53,8,_,il,il,DET,_
53-7,BO094,53,53,9,segno,segno,segno,NOUN,_
53-8,BO094,53,53,10,di,di,di,ADP,_
53-9,BO094,53,53,11,seguente,seguente,seguente,ADJ,_
54-0,BO094,54,54,1,e,e,e,CCONJ,_
54-1,BO094,54,54,2,se,se,se,SCONJ,_
54-2,BO094,54,54,3,esiste,esiste,esistere,VERB,_
54-3,BO094,54,54,4,un,un,uno,DET,_
54-4,BO094,54,54,5,altro,altro,altro,PRON,_
54-5,BO094,54,54,6-7,dei,dei,_,_,_
54-5a,_,_,54,6,_,di,di,ADP,_
54-5b,_,_,54,7,_,i,il,DET,_
54-6,BO094,54,54,8,sequenti,sequenti,sequente,NOUN,_
54-7,BO094,54,54,9,chiuso,chiuso,chiudere,VERB,_
54-8,BO094,54,54,10,per,per,per,ADP,_
54-9,BO094,54,54,11,gamma,gamma,gamma,NOUN,_
54-10,BO094,54,54,12,freccione,freccione,freccione,NOUN,_
54-11,BO094,54,54,13,"a,",a,a,ADP,Intonation=weakly_rising
55-0,BO094,55,55,1,allora,allora,allora,ADV,_
55-1,BO094,55,55,2,esiste,esiste,esistere,VERB,_
55-2,BO094,55,55,3,anche,anche,anche,ADV,_
55-3,BO094,55,55,4,una,una,uno,DET,_
55-4,BO094,55,55,5,derivazione,derivazione,derivazione,NOUN,_
55-5,BO094,55,55,6,{P},{P},_,_,_
55-6,BO094,55,55,7,in,in,in,ADP,_
55-7,BO094,55,55,8,deduzione,deduzione,deduzione,NOUN,_
55-8,BO094,55,55,9,xxx.,xxx,x,X,Intonation=falling
56-0,BO094,56,56,1,questa,questa,questo,DET,_
56-1,BO094,56,56,2,freccia,freccia,freccia,NOUN,_
56-2,BO094,56,56,3,è,è,essere,AUX,_
56-3,BO094,56,56,4,la,la,il,DET,_
56-4,BO094,56,56,5,freccia,freccia,freccia,NOUN,_
56-5,BO094,56,56,6-7,della,della,_,_,_
56-5a,_,_,56,6,_,di,di,ADP,_
56-5b,_,_,56,7,_,la,il,DET,_
56-6,BO094,56,56,8,completezza.,completezza,completezza,NOUN,Intonation=falling
57-0,BO094,57,57,1,e,e,e,CCONJ,_
57-1,BO094,57,57,2,forse,forse,forse,ADV,_
58-0,BO094,58,58,1,non,non,non,ADV,_
58-1,BO094,58,58,2,ce,ce,ce,PRON,_
58-2,BO094,58,58,3,la,la,la,PRON,_
58-3,BO094,58,58,4,facciamo,facciamo,fare,VERB,_
58-4,BO094,58,58,5,a,a,a,ADP,_
58-5,BO094,58,58,6,dimostrare,dimostrare,dimostrare,VERB,_
59-0,BO094,59,59,1,trasformare,trasformare,trasformare,VERB,_
59-1,BO094,59,59,2,i,i,il,DET,_
59-2,BO094,59,59,3,seguenti,seguenti,seguente,NOUN,_
59-3,BO094,59,59,4,in,in,in,ADP,_
59-4,BO094,59,59,5,xx,x,x,SYM,_
60-0,BO094,60,60,1,si,si,si,PRON,_
60-1,BO094,60,60,2,può,può,potere,AUX,_
60-2,BO094,60,60,3,fare.,fare,fare,VERB,Intonation=falling
61-0,???,61,61,0,{forte_brusio},{forte_brusio},_,X,_
62-0,BO094,62,62,1,guarda,guarda,guardare,VERB,_
62-1,BO094,62,62,2,xxx,x,x,SYM,_
63-0,BO094,63,63,1,va,va,andare,VERB,_
63-1,BO094,63,63,2,bene.,bene,bene,ADV,Intonation=falling
64-0,BO094,64,64,1,però,però,però,ADV,_
64-1,BO094,64,64,2,ricordatevi,ricordatevi,ricordatere,VERB,_
64-2,BO094,64,64,3,che,che,che,SCONJ,_
64-3,BO094,64,64,4,"questo,",questo,questo,PRON,Intonation=weakly_rising
64-4,BO094,64,64,5,(poi,poi,poi,ADV,_
64-5,BO094,64,64,6,vediamo),vediamo,vedere,VERB,_
64-6,BO094,64,64,7,ora,ora,ora,ADV,_
65-0,BO094,65,65,1,poi,poi,poi,ADV,_
65-1,BO094,65,65,2,vediamo,vediamo,vedere,VERB,_
65-2,BO094,65,65,3,ora,ora,ora,ADV,_
65-3,BO094,65,65,4,se:,se,se,SCONJ,_
66-0,BO094,66,66,1,giovedì,giovedì,giovedì,NOUN,_
66-1,BO094,66,66,2,ce,ce,ce,PRON,_
66-2,BO094,66,66,3,la,la,la,PRON,_
66-3,BO094,66,66,4,facciamo.,facciamo,fare,VERB,Intonation=falling
67-0,BO094,67,67,1,va,va,andare,VERB,_
67-1,BO094,67,67,2,bene?,bene,bene,ADV,Intonation=rising
67-2,BO094,67,67,3,mh,mh,mh,INTJ,_
68-0,BO094,68,68,1,questo,questo,questo,PRON,_
68-1,BO094,68,68,2,è,è,essere,AUX,_
68-2,BO094,68,68,3,importante,importante,importante,ADJ,_
68-3,BO094,68,68,4,come,come,come,ADP,_
68-4,BO094,68,68,5,vi,vi,vi,PRON,_
68-5,BO094,68,68,6,"dicevo,",dicevo,dire,VERB,Intonation=weakly_rising
69-0,BO094,69,69,1,perché,perché,perché,SCONJ,_
69-1,BO094,69,69,2,mette,mette,mettere,VERB,_
69-2,BO094,69,69,3,in,in,in,ADP,_
69-3,BO094,69,69,4,"rapporto,",rapporto,rapporto,NOUN,Intonation=weakly_rising
70-0,BO094,70,70,1,questo,questo,questo,DET,_
70-1,BO094,70,70,2,concetto,concetto,concetto,NOUN,_
70-2,BO094,70,70,3,"sintattico,",sintattico,sintattico,ADJ,Intonation=weakly_rising
71-0,BO094,71,71,1,con,con,con,ADP,_
71-1,BO094,71,71,2,questo,questo,questo,DET,_
71-2,BO094,71,71,3,concetto,concetto,concetto,NOUN,_
71-3,BO094,71,71,4,semantico.,semantico,semantico,ADJ,Intonation=falling
72-0,BO094,72,72,1,e,e,e,CCONJ,_
72-1,BO094,72,72,2,noi,noi,noi,PRON,_
72-2,BO094,72,72,3,già,già,già,ADV,_
72-3,BO094,72,72,4,sappiamo,sappiamo,sapere,VERB,_
72-4,BO094,72,72,5,che,che,che,SCONJ,_
72-5,BO094,72,72,6,questo,questo,questo,DET,_
72-6,BO094,72,72,7,"concetto,",concetto,concetto,NOUN,Intonation=weakly_rising
73-0,BO094,73,73,1,è,è,essere,AUX,_
73-1,BO094,73,73,2,equivalente,equivalente,equivalente,ADJ,_
73-2,BO094,73,73,3-4,al,al,_,_,_
73-2a,_,_,73,3,_,a,a,ADP,_
73-2b,_,_,73,4,_,il,il,DET,_
73-3,BO094,73,73,5,fatto,fatto,fatto,NOUN,_
73-4,BO094,73,73,6,che,che,che,SCONJ,_
73-5,BO094,73,73,7,gamma,gamma,gamma,NOUN,_
73-6,BO094,73,73,8,sia,sia,essere,AUX,_
73-7,BO094,73,73,9,che,che,che,PRON,_
73-8,BO094,73,73,10,a,a,a,ADP,_
73-9,BO094,73,73,11,sia,sia,sia,ADJ,_
73-10,BO094,73,73,12,conseguenza,conseguenza,conseguenza,NOUN,_
73-11,BO094,73,73,13,logica,logica,logico,ADJ,_
73-12,BO094,73,73,14,xxx,x,x,X,_
74-0,BO094,74,74,1,xx,x,x,X,_
74-1,BO094,74,74,2,che,che,che,PRON,_
74-2,BO094,74,74,3,abbiamo,abbiamo,avere,VERB,_
74-3,BO094,74,74,4,questi,questi,questo,DET,_
74-4,BO094,74,74,5,tre,tre,tre,NUM,_
74-5,BO094,74,74,6,"concetti,",concetti,concetto,NOUN,Intonation=weakly_rising
75-0,BO094,75,75,1,va,va,andare,VERB,_
75-1,BO094,75,75,2,bene?,bene,bene,ADV,Intonation=rising
76-0,BO094,76,76,1,e::h,eh,eh,INTJ,_
76-1,BO094,76,76,2,su,su,su,ADP,_
76-2,BO094,76,76,3,cui,cui,cui,PRON,_
76-3,BO094,76,76,4,praticamente,praticamente,praticamente,ADV,_
76-4,BO094,76,76,5,si,si,si,PRON,_
76-5,BO094,76,76,6,è,è,essere,AUX,_
76-6,BO094,76,76,7,fondato,fondato,fondare,VERB,_
76-7,BO094,76,76,8,l',l',il,DET,Truncated=Yes
76-8,BO094,76,76,9,intero,intero,intero,ADJ,_
76-9,BO094,76,76,10,corso.,corso,corso,NOUN,Intonation=falling
77-0,BO094,77,77,1,quindi,quindi,quindi,ADV,_
77-1,BO094,77,77,2,per,per,per,ADP,_
77-2,BO094,77,77,3,stabilire,stabilire,stabilire,VERB,_
77-3,BO094,77,77,4,quand',quand',quand',NUM,SpaceAfter=No
77-4,BO094,77,77,5,è,è,essere,AUX,_
